Xacc	Yacc	Zacc
-0.046748	0.057046	1.910928
-0.046748	0.057046	1.910928
-0.046748	0.057046	1.910928
-0.046748	0.057046	1.910928
-0.046748	0.057046	1.910928
-0.046748	0.057046	1.910928
-0.046748	0.057046	1.910928
-0.046748	0.057046	1.910928
-0.046748	0.057046	1.910928
-0.037837	0.054238	1.917642
-0.037837	0.054238	1.917642
-0.037837	0.054238	1.917642
-0.037837	0.054238	1.917642
-0.037837	0.054238	1.917642
-0.037837	0.054238	1.917642
-0.037837	0.054238	1.917642
-0.037837	0.054238	1.917642
-0.037837	0.054238	1.917642
-0.037837	0.054238	1.917642
-0.037837	0.054238	1.917642
-0.037837	0.054238	1.917642
-0.037837	0.054238	1.917642
-0.037837	0.054238	1.917642
-0.037837	0.054238	1.917642
-0.037837	0.054238	1.917642
-0.037837	0.054238	1.92106
-0.040889	0.05668	1.92106
-0.040889	0.05668	1.92106
-0.040889	0.05668	1.92106
-0.040889	0.05668	1.92106
-0.040889	0.05668	1.92106
-0.040889	0.05668	1.92106
-0.040889	0.05668	1.92106
-0.040889	0.05668	1.92106
-0.040889	0.05668	1.92106
-0.040889	0.05668	1.92106
-0.040889	0.05668	1.92106
-0.040889	0.05668	1.92106
-0.040889	0.05668	1.92106
-0.040889	0.05668	1.92106
-0.040889	0.05668	1.92106
-0.040889	0.05668	1.915322
-0.042231	0.055459	1.915322
-0.042231	0.055459	1.915322
-0.042231	0.055459	1.915322
-0.042231	0.055459	1.915322
-0.042231	0.055459	1.915322
-0.042231	0.055459	1.915322
-0.042231	0.055459	1.915322
-0.042231	0.055459	1.915322
-0.042231	0.055459	1.915322
-0.042231	0.055459	1.915322
-0.042231	0.055459	1.915322
-0.042231	0.055459	1.915322
-0.042231	0.055459	1.915322
-0.042231	0.055459	1.915322
-0.042231	0.055459	1.915322
-0.042231	0.054727	1.912759
-0.039912	0.054727	1.912759
-0.039912	0.054727	1.912759
-0.039912	0.054727	1.912759
-0.039912	0.054727	1.912759
-0.039912	0.054727	1.912759
-0.039912	0.054727	1.912759
-0.039912	0.054727	1.912759
-0.039912	0.054727	1.912759
-0.039912	0.054727	1.912759
-0.039912	0.054727	1.912759
-0.039912	0.054727	1.912759
-0.039912	0.054727	1.912759
-0.039912	0.054727	1.912759
-0.039912	0.054727	1.912759
-0.039912	0.054727	1.912759
-0.044917	0.055215	1.922891
-0.044917	0.055215	1.922891
-0.044917	0.055215	1.922891
-0.044917	0.055215	1.922891
-0.044917	0.055215	1.922891
-0.044917	0.055215	1.922891
-0.044917	0.055215	1.922891
-0.044917	0.055215	1.922891
-0.044917	0.055215	1.922891
-0.044917	0.055215	1.922891
-0.044917	0.055215	1.922891
-0.044917	0.055215	1.922891
-0.044917	0.055215	1.922891
-0.044917	0.055215	1.922891
-0.044917	0.055215	1.922891
-0.044917	0.055215	1.922891
-0.044917	0.055215	1.919351
-0.039424	0.054482	1.919351
-0.039424	0.054482	1.919351
-0.039424	0.054482	1.919351
-0.039424	0.054482	1.919351
-0.039424	0.054482	1.919351
-0.039424	0.054482	1.919351
-0.039424	0.054482	1.919351
-0.039424	0.054482	1.919351
-0.039424	0.054482	1.919351
-0.039424	0.054482	1.919351
-0.039424	0.054482	1.919351
-0.039424	0.054482	1.919351
-0.039424	0.054482	1.919351
-0.039424	0.054482	1.919351
-0.039424	0.054482	1.919351
-0.039424	0.054482	1.919351
-0.039424	0.055093	1.913369
-0.038325	0.055093	1.913369
-0.038325	0.055093	1.913369
-0.038325	0.055093	1.913369
-0.038325	0.055093	1.913369
-0.038325	0.055093	1.913369
-0.038325	0.055093	1.913369
-0.038325	0.055093	1.913369
-0.038325	0.055093	1.913369
-0.038325	0.055093	1.913369
-0.038325	0.055093	1.913369
-0.038325	0.055093	1.913369
-0.038325	0.055093	1.913369
-0.038325	0.055093	1.913369
-0.038325	0.055093	1.913369
-0.038325	0.055093	1.913369
-0.038325	0.055093	1.913369
-0.038325	0.056558	1.916787
-0.038936	0.056558	1.916787
-0.038936	0.056558	1.916787
-0.038936	0.056558	1.916787
-0.038936	0.056558	1.916787
-0.038936	0.056558	1.916787
-0.038936	0.056558	1.916787
-0.038936	0.056558	1.916787
-0.038936	0.056558	1.916787
-0.038936	0.056558	1.916787
-0.038936	0.056558	1.916787
-0.038936	0.056558	1.916787
